ride_id,user_id,city,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_time,duration_minutes,distance_km,speed_kmh,incident_reported,route_deviation,safety_score,time_of_day,timestamp
15,15,Lucknow,26.9406,80.9579,26.8132,80.9299,05:22,52,17.09,19.72,No,No,0.53,night,2025-01-02T05:00:00
16,16,Lucknow,26.8624,80.9829,26.8733,80.8958,12:47,33,22.83,41.51,No,No,0.92,day,2025-01-02T12:00:00
17,17,Kolkata,22.5565,88.3728,22.6565,88.2855,02:56,32,11.71,21.96,No,No,0.67,night,2025-01-03T02:00:00
18,18,Kolkata,22.5578,88.318,22.5408,88.4062,07:16,12,10.88,54.4,No,No,0.88,day,2025-01-03T07:00:00
19,19,Kolkata,22.4891,88.3934,22.486,88.4474,15:45,84,16.22,11.59,No,No,0.82,day,2025-01-03T15:00:00
20,20,Kolkata,22.5147,88.3878,22.5878,88.3965,13:00,27,9.4,20.89,No,No,0.7,day,2025-01-03T13:00:00
21,21,Kolkata,22.6303,88.3971,22.6138,88.4022,19:42,41,21.15,30.95,No,No,0.91,day,2025-01-03T19:00:00
22,22,Kolkata,22.6422,88.3796,22.6656,88.348,02:23,18,12.51,41.7,No,No,0.71,night,2025-01-03T02:00:00
23,23,Kolkata,22.5263,88.4195,22.6007,88.3669,12:10,57,23.2,24.42,No,No,0.76,day,2025-01-03T12:00:00
24,24,Kolkata,22.4863,88.3378,22.5629,88.3136,23:51,15,13.72,54.88,Yes,Yes,0.75,night,2025-01-03T23:00:00
25,25,Mumbai,19.1738,72.9266,19.0577,72.9751,04:31,76,3.54,2.79,No,No,0.74,night,2025-01-04T04:00:00
26,26,Mumbai,18.9816,72.7857,19.0489,72.8656,10:52,21,0.72,2.06,No,No,0.75,day,2025-01-04T10:00:00
27,27,Mumbai,19.1223,72.7841,19.017,72.9606,11:33,87,10.38,7.16,No,No,0.72,day,2025-01-04T11:00:00
28,28,Mumbai,19.1262,72.8595,19.067,72.9087,02:14,65,20.82,19.22,No,No,0.51,night,2025-01-04T02:00:00
29,29,Mumbai,19.0891,72.8899,18.984,72.9676,13:10,5,15.1,181.2,No,No,0.94,day,2025-01-04T13:00:00
30,30,Mumbai,19.1715,72.8037,19.001,72.8624,00:35,33,23.92,43.49,Yes,Yes,0.57,night,2025-01-04T00:00:00
31,31,Mumbai,19.0186,72.7979,19.0404,72.9126,02:57,54,11.5,12.78,No,No,0.56,night,2025-01-04T02:00:00
32,32,Mumbai,19.0215,72.9104,19.1382,72.8836,17:06,14,5.19,22.24,No,No,0.75,day,2025-01-04T17:00:00
33,33,Kolkata,22.5246,88.4112,22.6045,88.4434,02:06,80,0.75,0.56,No,No,0.65,night,2025-01-05T02:00:00
34,34,Kolkata,22.5731,88.453,22.5477,88.2785,10:13,13,5.08,23.45,No,No,0.89,day,2025-01-05T10:00:00
35,35,Kolkata,22.6064,88.2896,22.5889,88.4359,06:19,22,18.83,51.35,Yes,No,0.69,night,2025-01-05T06:00:00
36,36,Kolkata,22.6151,88.3304,22.6211,88.3918,09:15,44,18.98,25.88,No,No,0.69,day,2025-01-05T09:00:00
37,37,Kolkata,22.5211,88.4555,22.5187,88.3423,02:21,16,3.84,14.4,No,Yes,0.51,night,2025-01-05T02:00:00
38,38,Kolkata,22.5256,88.4596,22.6648,88.388,17:05,51,8.63,10.15,No,No,0.67,day,2025-01-05T17:00:00
39,39,Kolkata,22.6389,88.3885,22.563,88.2939,10:26,10,5.12,30.72,No,No,0.9,day,2025-01-05T10:00:00
40,40,Kolkata,22.6633,88.4063,22.6417,88.4464,15:55,28,0.62,1.33,No,No,0.8,day,2025-01-05T15:00:00
41,41,Kolkata,22.6686,88.4636,22.484,88.4095,15:08,45,14.25,19.0,No,No,0.75,day,2025-01-05T15:00:00
42,42,Kolkata,22.5411,88.3865,22.5304,88.4028,12:13,49,8.41,10.3,No,No,0.77,day,2025-01-06T12:00:00
43,43,Kolkata,22.4855,88.3335,22.6313,88.3625,13:01,49,14.65,17.94,No,No,0.79,day,2025-01-06T13:00:00
44,44,Kolkata,22.5421,88.3849,22.5486,88.2747,02:13,74,4.65,3.77,Yes,No,0.59,night,2025-01-06T02:00:00
45,45,Kolkata,22.6533,88.4213,22.4858,88.4214,23:51,16,4.95,18.56,No,No,0.55,night,2025-01-06T23:00:00
46,46,Kolkata,22.6137,88.3661,22.5217,88.4039,10:13,75,24.75,19.8,No,No,0.66,day,2025-01-06T10:00:00
47,47,Kolkata,22.484,88.4631,22.5729,88.4441,00:51,17,13.93,49.16,No,No,0.68,night,2025-01-06T00:00:00
48,48,Kolkata,22.5083,88.3633,22.5477,88.3955,14:30,56,7.09,7.6,No,No,0.67,day,2025-01-06T14:00:00
49,49,Kolkata,22.5006,88.3716,22.5818,88.2816,13:58,72,17.46,14.55,No,No,0.69,day,2025-01-06T13:00:00
50,50,Kolkata,22.6511,88.3566,22.5042,88.2878,08:57,74,18.92,15.34,No,No,0.66,day,2025-01-06T08:00:00
51,51,Chennai,13.0842,80.2456,13.0613,80.2029,00:04,47,6.96,8.89,No,No,0.62,night,2025-01-07T00:00:00
52,52,Chennai,13.015,80.3659,13.036,80.1853,00:15,62,20.46,19.8,No,No,0.75,night,2025-01-07T00:00:00
53,53,Chennai,13.1206,80.296,13.0785,80.3274,06:36,18,16.52,55.07,Yes,No,0.53,night,2025-01-07T06:00:00
54,54,Chennai,13.0088,80.2657,13.0088,80.3287,09:44,53,19.39,21.95,No,No,0.91,day,2025-01-07T09:00:00
55,55,Chennai,13.1402,80.2384,13.0185,80.2018,14:25,83,23.4,16.92,No,No,0.87,day,2025-01-07T14:00:00
56,56,Chennai,12.9958,80.2585,13.0562,80.2738,00:17,67,14.17,12.69,No,Yes,0.65,night,2025-01-07T00:00:00
57,57,Chennai,13.0685,80.2421,13.1068,80.1717,23:37,41,9.76,14.28,No,No,0.71,night,2025-01-07T23:00:00
58,58,Chennai,13.1249,80.2177,12.9855,80.2754,14:41,27,5.68,12.62,No,No,0.86,day,2025-01-07T14:00:00
59,59,Chennai,13.0975,80.2363,13.1526,80.2628,08:36,26,17.56,40.52,No,No,0.76,day,2025-01-07T08:00:00
60,60,Hyderabad,17.394,78.4801,17.4129,78.5378,03:31,59,24.76,25.18,No,No,0.47,night,2025-01-08T03:00:00
61,61,Hyderabad,17.4586,78.539,17.4109,78.4253,01:28,76,8.42,6.65,No,No,0.6,night,2025-01-08T01:00:00
62,62,Hyderabad,17.306,78.5622,17.2927,78.4929,22:25,57,24.18,25.45,No,No,0.68,night,2025-01-08T22:00:00
63,63,Hyderabad,17.332,78.4307,17.479,78.5797,22:48,77,11.74,9.15,No,No,0.7,night,2025-01-08T22:00:00
64,64,Hyderabad,17.3714,78.4844,17.4409,78.4185,02:12,56,17.66,18.92,No,No,0.64,night,2025-01-08T02:00:00
65,65,Hyderabad,17.4098,78.4709,17.3351,78.565,19:41,40,3.33,5.0,Yes,Yes,0.81,day,2025-01-08T19:00:00
66,66,Hyderabad,17.3547,78.5022,17.3982,78.3898,14:41,84,17.5,12.5,No,No,0.91,day,2025-01-08T14:00:00
67,67,Hyderabad,17.3123,78.4639,17.3682,78.5124,03:19,57,10.22,10.76,No,No,0.65,night,2025-01-08T03:00:00
68,68,Hyderabad,17.2896,78.5152,17.3128,78.5509,20:48,67,24.55,21.99,No,No,0.93,day,2025-01-08T20:00:00
69,69,Hyderabad,17.4047,78.4883,17.3809,78.4194,20:26,30,5.93,11.86,No,No,0.76,day,2025-01-08T20:00:00
70,70,Lucknow,26.8628,81.0379,26.8851,80.8774,04:04,44,23.13,31.54,No,No,0.55,night,2025-01-09T04:00:00
71,71,Lucknow,26.8473,80.9669,26.7856,80.8686,03:50,86,6.29,4.39,No,No,0.63,night,2025-01-09T03:00:00
72,72,Lucknow,26.8334,80.8975,26.7903,80.9501,22:51,85,4.0,2.82,Yes,No,0.51,night,2025-01-09T22:00:00
73,73,Lucknow,26.8634,80.8516,26.7924,80.9791,09:48,44,21.5,29.32,No,No,0.87,day,2025-01-09T09:00:00
74,74,Lucknow,26.8284,80.9092,26.8688,80.9703,23:24,72,15.54,12.95,No,No,0.49,night,2025-01-09T23:00:00
75,75,Lucknow,26.7948,80.9569,26.7711,80.9135,08:50,65,4.17,3.85,No,No,0.83,day,2025-01-09T08:00:00
76,76,Lucknow,26.9043,80.9297,26.7691,81.0283,05:44,27,6.93,15.4,No,No,0.61,night,2025-01-09T05:00:00
77,77,Lucknow,26.8323,80.8893,26.9039,81.0421,05:15,66,20.54,18.67,No,No,0.63,night,2025-01-09T05:00:00
78,78,Lucknow,26.8077,80.898,26.9382,80.8743,12:21,12,2.55,12.75,No,No,0.66,day,2025-01-09T12:00:00
79,79,Chennai,13.1103,80.3222,13.0183,80.2126,20:33,71,1.67,1.41,No,No,0.75,day,2025-01-10T20:00:00
80,80,Chennai,13.0775,80.2625,13.1297,80.2626,06:37,42,14.69,20.99,No,No,0.75,night,2025-01-10T06:00:00
81,81,Chennai,13.1639,80.2074,13.029,80.3403,08:36,55,20.44,22.3,No,Yes,0.81,day,2025-01-10T08:00:00
82,82,Chennai,13.0307,80.2542,13.1669,80.2476,00:30,12,12.1,60.5,No,No,0.68,night,2025-01-10T00:00:00
83,83,Chennai,13.1742,80.3701,13.062,80.1924,23:58,76,19.11,15.09,No,No,0.71,night,2025-01-10T23:00:00
84,84,Chennai,12.9998,80.3464,13.0833,80.2481,09:57,29,14.92,30.87,No,Yes,0.9,day,2025-01-10T09:00:00
85,85,Chennai,13.0281,80.3406,13.1319,80.2928,03:27,66,4.78,4.35,No,No,0.49,night,2025-01-10T03:00:00
86,86,Chennai,13.1105,80.3685,13.0884,80.2134,02:07,32,20.51,38.46,No,No,0.49,night,2025-01-10T02:00:00
87,87,Pune,18.5025,73.9303,18.443,73.8589,06:08,9,23.24,154.93,Yes,Yes,0.51,night,2025-01-11T06:00:00
88,88,Pune,18.4509,73.9371,18.6088,73.8219,17:14,55,13.2,14.4,No,No,0.79,day,2025-01-11T17:00:00
89,89,Pune,18.5802,73.8945,18.4568,73.8351,08:24,67,12.04,10.78,No,No,0.81,day,2025-01-11T08:00:00
90,90,Pune,18.5869,73.9122,18.5018,73.7763,15:36,72,9.19,7.66,No,No,0.78,day,2025-01-11T15:00:00
91,91,Pune,18.5562,73.9448,18.5022,73.9563,01:00,13,16.23,74.91,Yes,No,0.71,night,2025-01-11T01:00:00
92,92,Pune,18.4948,73.7771,18.4722,73.7803,03:56,47,21.43,27.36,No,No,0.49,night,2025-01-11T03:00:00
93,93,Pune,18.6099,73.8848,18.5557,73.8929,16:40,63,2.58,2.46,No,Yes,0.76,day,2025-01-11T16:00:00
94,94,Pune,18.5731,73.8479,18.4889,73.8753,18:43,82,8.41,6.15,No,No,0.94,day,2025-01-11T18:00:00
95,95,Pune,18.4896,73.9271,18.4799,73.7784,05:26,7,13.29,113.91,Yes,No,0.52,night,2025-01-11T05:00:00
96,96,Pune,18.5681,73.8748,18.4367,73.9327,11:37,86,17.45,12.17,Yes,Yes,0.72,day,2025-01-11T11:00:00
97,97,Bengaluru,13.0129,77.6378,13.0484,77.5521,14:12,21,23.99,68.54,No,No,0.89,day,2025-01-12T14:00:00
98,98,Bengaluru,13.0392,77.5828,12.9743,77.5821,07:06,18,23.6,78.67,No,No,0.72,day,2025-01-12T07:00:00
99,99,Bengaluru,12.9743,77.6619,12.9923,77.5982,03:30,55,11.57,12.62,No,No,0.65,night,2025-01-12T03:00:00
100,100,Bengaluru,13.001,77.5364,12.8926,77.6047,19:15,29,7.79,16.12,No,No,0.7,day,2025-01-12T19:00:00
101,101,Bengaluru,13.0695,77.6303,12.8869,77.5522,06:51,60,14.38,14.38,No,No,0.73,night,2025-01-12T06:00:00
102,102,Bengaluru,12.947,77.5589,12.9076,77.6722,17:55,47,16.16,20.63,No,No,0.76,day,2025-01-12T17:00:00
103,103,Bengaluru,13.0368,77.5387,13.0032,77.6584,17:52,24,18.32,45.8,No,No,0.87,day,2025-01-12T17:00:00
104,104,Bengaluru,12.959,77.654,12.9965,77.6157,01:17,28,21.8,46.71,No,Yes,0.63,night,2025-01-12T01:00:00
105,105,Mumbai,19.091,72.8685,19.1297,72.8282,20:01,58,0.63,0.65,No,No,0.94,day,2025-01-13T20:00:00
106,106,Mumbai,19.0998,72.8146,19.1203,72.8322,13:40,53,8.41,9.52,No,No,0.81,day,2025-01-13T13:00:00
107,107,Mumbai,19.1093,72.8207,19.0929,72.7851,15:40,14,11.91,51.04,No,No,0.8,day,2025-01-13T15:00:00
108,108,Mumbai,19.0679,72.8065,19.1476,72.8604,10:51,52,0.5,0.58,No,No,0.79,day,2025-01-13T10:00:00
109,109,Mumbai,19.159,72.8291,19.0412,72.9332,13:50,73,12.98,10.67,No,No,0.76,day,2025-01-13T13:00:00
110,110,Mumbai,19.0159,72.9406,19.0264,72.7855,19:11,38,20.82,32.87,No,No,0.67,day,2025-01-13T19:00:00
111,111,Mumbai,19.1531,72.8262,19.0911,72.9704,07:58,54,10.21,11.34,No,No,0.9,day,2025-01-13T07:00:00
112,112,Mumbai,19.1401,72.7924,19.1645,72.9014,00:54,5,19.69,236.28,No,No,0.54,night,2025-01-13T00:00:00
113,113,Mumbai,19.0725,72.795,18.9914,72.8094,16:14,79,0.79,0.6,No,Yes,0.84,day,2025-01-13T16:00:00
114,114,Mumbai,19.1406,72.8014,18.9813,72.8239,13:02,51,15.44,18.16,No,Yes,0.66,day,2025-01-13T13:00:00
115,115,Delhi,28.5137,77.141,28.584,77.1846,16:02,5,22.63,271.56,No,No,0.69,day,2025-01-14T16:00:00
116,116,Delhi,28.5715,77.2588,28.5058,77.1968,18:58,69,24.33,21.16,No,No,0.76,day,2025-01-14T18:00:00
117,117,Delhi,28.6233,77.2354,28.517,77.1084,14:59,69,24.98,21.72,No,No,0.88,day,2025-01-14T14:00:00
118,118,Delhi,28.5921,77.2427,28.6139,77.1334,22:02,69,0.87,0.76,No,No,0.62,night,2025-01-14T22:00:00
119,119,Delhi,28.437,77.2085,28.5983,77.121,12:45,84,21.58,15.41,No,No,0.78,day,2025-01-14T12:00:00
120,120,Delhi,28.6186,77.141,28.4488,77.1644,03:02,50,20.97,25.16,Yes,No,0.68,night,2025-01-14T03:00:00
121,121,Delhi,28.4542,77.1254,28.5286,77.213,14:48,67,2.46,2.2,No,Yes,0.73,day,2025-01-14T14:00:00
122,122,Delhi,28.6139,77.1493,28.6094,77.1948,19:10,28,0.86,1.84,No,No,0.84,day,2025-01-14T19:00:00
123,123,Lucknow,26.9246,81.025,26.8055,81.0112,12:31,82,23.35,17.09,No,Yes,0.84,day,2025-01-15T12:00:00
124,124,Lucknow,26.7472,81.0096,26.9166,80.9958,16:53,36,9.27,15.45,No,Yes,0.77,day,2025-01-15T16:00:00
125,125,Lucknow,26.8556,80.9362,26.921,80.8624,03:29,18,22.02,73.4,No,No,0.45,night,2025-01-15T03:00:00
126,126,Lucknow,26.7676,80.9621,26.8365,80.98,11:18,61,17.01,16.73,No,No,0.74,day,2025-01-15T11:00:00
127,127,Lucknow,26.9367,80.8866,26.7956,80.9418,02:36,72,11.8,9.83,Yes,No,0.49,night,2025-01-15T02:00:00
128,128,Lucknow,26.8642,80.9447,26.8652,81.0264,17:43,69,3.16,2.75,No,No,0.68,day,2025-01-15T17:00:00
129,129,Lucknow,26.7942,80.9922,26.7775,80.8978,11:26,41,2.12,3.1,No,No,0.82,day,2025-01-15T11:00:00
130,130,Lucknow,26.8288,81.0124,26.9149,80.9794,17:04,78,7.95,6.12,No,Yes,0.78,day,2025-01-15T17:00:00
131,131,Lucknow,26.79,80.871,26.8045,80.8744,19:05,64,24.36,22.84,Yes,No,0.75,day,2025-01-15T19:00:00
132,132,Lucknow,26.8061,80.9264,26.8312,80.8507,02:45,39,23.86,36.71,No,No,0.63,night,2025-01-16T02:00:00
133,133,Lucknow,26.9214,80.8618,26.9146,80.9545,01:13,57,5.13,5.4,No,No,0.62,night,2025-01-16T01:00:00
134,134,Lucknow,26.8246,80.9357,26.8208,80.9859,03:03,78,15.88,12.22,No,Yes,0.63,night,2025-01-16T03:00:00
135,135,Lucknow,26.7753,80.9258,26.8414,80.9708,20:27,14,15.06,64.54,No,No,0.85,day,2025-01-16T20:00:00
136,136,Lucknow,26.8144,80.9311,26.8852,80.9385,15:22,87,22.85,15.76,No,No,0.85,day,2025-01-16T15:00:00
137,137,Lucknow,26.7735,81.0335,26.9136,80.9592,16:25,6,11.39,113.9,No,No,0.72,day,2025-01-16T16:00:00
138,138,Lucknow,26.9165,80.8795,26.8455,80.8786,20:08,36,4.17,6.95,No,No,0.81,day,2025-01-16T20:00:00
139,139,Lucknow,26.8457,80.8911,26.8569,80.8962,08:54,25,10.94,26.26,No,No,0.65,day,2025-01-16T08:00:00
140,140,Lucknow,26.9315,81.0129,26.7777,81.0076,10:10,77,24.65,19.21,No,No,0.65,day,2025-01-16T10:00:00
141,141,Jaipur,26.8936,75.8466,26.9389,75.7848,03:35,13,22.19,102.42,Yes,No,0.53,night,2025-01-17T03:00:00
142,142,Jaipur,27.0007,75.6914,26.9419,75.8561,11:05,34,0.89,1.57,No,No,0.79,day,2025-01-17T11:00:00
143,143,Jaipur,26.9913,75.8293,26.9808,75.7688,23:33,32,6.11,11.46,No,No,0.58,night,2025-01-17T23:00:00
144,144,Jaipur,26.9914,75.7697,26.9298,75.7701,13:34,49,12.78,15.65,No,Yes,0.94,day,2025-01-17T13:00:00
145,145,Jaipur,26.9452,75.8747,26.8981,75.7763,18:14,50,4.84,5.81,No,No,0.77,day,2025-01-17T18:00:00
146,146,Jaipur,26.9072,75.8594,26.9433,75.8353,21:53,6,17.41,174.1,No,No,0.75,day,2025-01-17T21:00:00
147,147,Jaipur,26.9138,75.751,26.8475,75.7448,04:23,84,24.27,17.34,No,No,0.48,night,2025-01-17T04:00:00
148,148,Jaipur,26.9914,75.8591,26.9679,75.7125,07:10,66,24.09,21.9,No,No,0.93,day,2025-01-17T07:00:00
149,149,Jaipur,26.8819,75.7266,26.9799,75.7214,04:51,21,21.47,61.34,Yes,No,0.73,night,2025-01-17T04:00:00
150,150,Jaipur,26.8262,75.8407,26.8743,75.7244,12:39,84,23.78,16.99,No,No,0.81,day,2025-01-17T12:00:00
151,151,Lucknow,26.7476,80.8802,26.7771,80.9944,14:08,15,16.96,67.84,No,Yes,0.84,day,2025-01-18T14:00:00
152,152,Lucknow,26.8273,80.9386,26.8216,81.0106,21:46,46,4.52,5.9,No,No,0.91,day,2025-01-18T21:00:00
153,153,Lucknow,26.7535,80.9436,26.8543,80.9139,00:05,39,20.8,32.0,No,No,0.71,night,2025-01-18T00:00:00
154,154,Lucknow,26.7974,81.0393,26.9009,80.8628,17:32,34,11.22,19.8,No,No,0.84,day,2025-01-18T17:00:00
155,155,Lucknow,26.8851,80.8567,26.7905,80.9053,23:53,52,4.17,4.81,No,No,0.54,night,2025-01-18T23:00:00
156,156,Lucknow,26.8399,81.0222,26.853,80.8576,08:52,8,10.33,77.48,No,No,0.86,day,2025-01-18T08:00:00
157,157,Lucknow,26.908,80.8617,26.8677,81.044,04:45,84,3.57,2.55,Yes,No,0.59,night,2025-01-18T04:00:00
158,158,Lucknow,26.8351,80.9722,26.921,81.0367,21:19,54,9.51,10.57,No,Yes,0.66,day,2025-01-18T21:00:00
159,159,Lucknow,26.9329,80.9889,26.8084,80.8885,05:08,53,24.16,27.35,No,No,0.46,night,2025-01-18T05:00:00
160,160,Lucknow,26.9438,80.9594,26.8596,81.005,05:28,43,4.18,5.83,No,No,0.7,night,2025-01-18T05:00:00
161,161,Bengaluru,12.9619,77.6676,12.9288,77.5926,00:42,19,11.31,35.72,No,Yes,0.7,night,2025-01-19T00:00:00
162,162,Bengaluru,12.9448,77.6248,13.0673,77.6678,04:35,37,4.58,7.43,No,No,0.7,night,2025-01-19T04:00:00
163,163,Bengaluru,12.9515,77.6581,12.8827,77.6604,00:25,8,17.99,134.92,No,No,0.53,night,2025-01-19T00:00:00
164,164,Bengaluru,13.0454,77.6803,13.0187,77.6589,02:43,16,8.96,33.6,No,No,0.71,night,2025-01-19T02:00:00
165,165,Bengaluru,12.9624,77.6115,12.9978,77.5811,19:37,9,11.41,76.07,No,No,0.94,day,2025-01-19T19:00:00
166,166,Bengaluru,12.8986,77.6569,12.9678,77.5713,20:07,20,6.16,18.48,No,No,0.81,day,2025-01-19T20:00:00
167,167,Bengaluru,12.9968,77.5932,13.0344,77.6248,01:42,21,18.93,54.09,No,No,0.52,night,2025-01-19T01:00:00
168,168,Bengaluru,12.8989,77.5814,12.8793,77.5914,23:05,74,23.25,18.85,Yes,No,0.69,night,2025-01-19T23:00:00
169,169,Bengaluru,12.8962,77.5882,13.0542,77.5052,11:19,85,6.26,4.42,No,No,0.7,day,2025-01-19T11:00:00
170,170,Bengaluru,12.88,77.5998,12.9496,77.6518,17:32,24,1.66,4.15,No,Yes,0.93,day,2025-01-19T17:00:00
171,171,Pune,18.4692,73.7573,18.5703,73.8309,11:50,57,15.32,16.13,No,No,0.7,day,2025-01-20T11:00:00
172,172,Pune,18.4704,73.8353,18.5158,73.8826,10:32,83,21.07,15.23,No,No,0.83,day,2025-01-20T10:00:00
173,173,Pune,18.5444,73.7706,18.442,73.777,16:09,70,18.31,15.69,No,No,0.8,day,2025-01-20T16:00:00
174,174,Pune,18.4481,73.8732,18.569,73.915,07:57,13,3.08,14.22,No,No,0.76,day,2025-01-20T07:00:00
175,175,Pune,18.5886,73.9036,18.5558,73.8247,23:06,63,2.29,2.18,No,Yes,0.7,night,2025-01-20T23:00:00
176,176,Pune,18.543,73.7763,18.5366,73.9124,09:14,18,11.43,38.1,No,No,0.78,day,2025-01-20T09:00:00
177,177,Pune,18.5591,73.9462,18.4666,73.7752,22:26,57,17.34,18.25,No,No,0.45,night,2025-01-20T22:00:00
178,178,Pune,18.5201,73.824,18.4794,73.9092,13:49,21,6.12,17.49,No,No,0.82,day,2025-01-20T13:00:00
179,179,Pune,18.4597,73.7869,18.5298,73.7779,14:38,41,14.31,20.94,No,No,0.93,day,2025-01-20T14:00:00
180,180,Delhi,28.6196,77.1628,28.5612,77.2161,04:23,7,5.14,44.06,No,No,0.54,night,2025-01-21T04:00:00
181,181,Delhi,28.4996,77.1535,28.5995,77.2872,00:36,9,5.43,36.2,No,No,0.57,night,2025-01-21T00:00:00
182,182,Delhi,28.5914,77.1674,28.5446,77.1173,16:07,43,0.5,0.7,No,No,0.85,day,2025-01-21T16:00:00
183,183,Delhi,28.4919,77.2364,28.4433,77.1449,03:17,7,20.46,175.37,No,No,0.62,night,2025-01-21T03:00:00
184,184,Delhi,28.5887,77.3035,28.484,77.2546,15:38,70,22.55,19.33,No,No,0.93,day,2025-01-21T15:00:00
185,185,Delhi,28.503,77.1811,28.5219,77.1923,16:13,70,23.64,20.26,No,No,0.72,day,2025-01-21T16:00:00
186,186,Delhi,28.619,77.2487,28.5331,77.1995,23:40,49,17.44,21.36,No,No,0.71,night,2025-01-21T23:00:00
187,187,Delhi,28.4725,77.2931,28.5514,77.2079,07:02,72,21.03,17.53,No,No,0.71,day,2025-01-21T07:00:00
188,188,Pune,18.4592,73.8581,18.4448,73.9268,01:10,89,9.46,6.38,No,Yes,0.68,night,2025-01-22T01:00:00
189,189,Pune,18.5445,73.9418,18.4213,73.9516,11:45,18,5.04,16.8,No,No,0.72,day,2025-01-22T11:00:00
190,190,Pune,18.5211,73.827,18.4703,73.8753,07:19,68,6.94,6.12,No,No,0.8,day,2025-01-22T07:00:00
191,191,Pune,18.4337,73.7747,18.5899,73.8291,12:26,40,8.91,13.37,Yes,No,0.74,day,2025-01-22T12:00:00
192,192,Pune,18.4558,73.7813,18.5598,73.7595,08:04,89,6.27,4.23,No,Yes,0.93,day,2025-01-22T08:00:00
193,193,Pune,18.5628,73.9029,18.6019,73.9034,14:18,7,12.89,110.49,No,No,0.84,day,2025-01-22T14:00:00
194,194,Pune,18.5903,73.9037,18.5213,73.8532,10:49,76,15.42,12.17,No,No,0.85,day,2025-01-22T10:00:00
195,195,Pune,18.5363,73.8017,18.5978,73.8554,04:58,53,19.76,22.37,Yes,No,0.68,night,2025-01-22T04:00:00
196,196,Pune,18.6047,73.8768,18.5844,73.7984,05:31,62,5.9,5.71,Yes,No,0.74,night,2025-01-22T05:00:00
197,197,Bengaluru,13.0649,77.6888,13.0202,77.5004,11:11,6,1.32,13.2,No,No,0.86,day,2025-01-23T11:00:00
198,198,Bengaluru,12.9061,77.5449,13.0594,77.5373,18:46,78,6.32,4.86,No,No,0.84,day,2025-01-23T18:00:00
199,199,Bengaluru,12.9717,77.6273,13.0203,77.6747,02:28,53,1.07,1.21,No,No,0.45,night,2025-01-23T02:00:00
200,200,Bengaluru,13.0373,77.6077,12.9032,77.6523,20:15,7,3.94,33.77,No,No,0.94,day,2025-01-23T20:00:00
201,201,Bengaluru,13.0189,77.5585,12.9376,77.5398,19:38,8,2.77,20.78,No,No,0.66,day,2025-01-23T19:00:00
202,202,Bengaluru,12.9965,77.6806,12.9819,77.6306,22:12,41,0.54,0.79,No,No,0.48,night,2025-01-23T22:00:00
203,203,Bengaluru,13.0144,77.6685,13.05,77.6044,02:23,24,24.6,61.5,No,No,0.66,night,2025-01-23T02:00:00
204,204,Bengaluru,12.9332,77.5188,13.015,77.6757,14:29,29,18.66,38.61,No,No,0.85,day,2025-01-23T14:00:00
205,205,Bengaluru,13.0702,77.5312,12.9068,77.543,06:52,51,2.57,3.02,No,No,0.47,night,2025-01-23T06:00:00
206,206,Bengaluru,12.934,77.6057,12.9038,77.6012,14:13,89,24.82,16.73,No,No,0.84,day,2025-01-24T14:00:00
