traffic_id,city,date,hour,vehicle_count,congestion_level,average_speed_kmh,accident_count,weather_condition,timestamp
31,Bengaluru,2025-01-01,3,279,Low,69.91,2,Cloudy,2025-01-01T03:00:00
32,Mumbai,2025-01-01,3,233,Low,60.68,2,Cloudy,2025-01-01T03:00:00
33,Delhi,2025-01-01,3,281,Medium,55.96,1,Rainy,2025-01-01T03:00:00
34,Chennai,2025-01-01,3,269,Medium,51.91,2,Rainy,2025-01-01T03:00:00
35,Lucknow,2025-01-01,3,280,Medium,64.59,2,Cloudy,2025-01-01T03:00:00
36,Kolkata,2025-01-01,3,183,Low,67.97,0,Rainy,2025-01-01T03:00:00
37,Hyderabad,2025-01-01,3,30,Low,66.43,0,Cloudy,2025-01-01T03:00:00
38,Ahmedabad,2025-01-01,3,277,Low,60.77,1,Clear,2025-01-01T03:00:00
39,Pune,2025-01-01,3,30,Low,69.0,0,Clear,2025-01-01T03:00:00
40,Jaipur,2025-01-01,3,280,Low,64.76,1,Cloudy,2025-01-01T03:00:00
41,Bengaluru,2025-01-01,4,128,Medium,65.56,2,Rainy,2025-01-01T04:00:00
42,Mumbai,2025-01-01,4,286,Low,57.48,1,Cloudy,2025-01-01T04:00:00
43,Delhi,2025-01-01,4,96,Low,60.67,0,Rainy,2025-01-01T04:00:00
44,Chennai,2025-01-01,4,86,Low,53.11,1,Rainy,2025-01-01T04:00:00
45,Lucknow,2025-01-01,4,109,Low,59.52,2,Rainy,2025-01-01T04:00:00
46,Kolkata,2025-01-01,4,233,Low,54.77,0,Clear,2025-01-01T04:00:00
47,Hyderabad,2025-01-01,4,296,Low,60.5,1,Cloudy,2025-01-01T04:00:00
48,Ahmedabad,2025-01-01,4,298,Low,67.56,0,Rainy,2025-01-01T04:00:00
49,Pune,2025-01-01,4,100,Medium,57.4,2,Rainy,2025-01-01T04:00:00
50,Jaipur,2025-01-01,4,181,Medium,58.22,1,Cloudy,2025-01-01T04:00:00
51,Bengaluru,2025-01-01,5,114,Low,52.76,2,Cloudy,2025-01-01T05:00:00
52,Mumbai,2025-01-01,5,35,Low,56.13,1,Cloudy,2025-01-01T05:00:00
53,Delhi,2025-01-01,5,37,Low,50.75,1,Cloudy,2025-01-01T05:00:00
54,Chennai,2025-01-01,5,257,Low,53.66,1,Rainy,2025-01-01T05:00:00
55,Lucknow,2025-01-01,5,173,Low,53.73,2,Rainy,2025-01-01T05:00:00
56,Kolkata,2025-01-01,5,277,Low,55.43,0,Cloudy,2025-01-01T05:00:00
57,Hyderabad,2025-01-01,5,152,Medium,56.58,1,Cloudy,2025-01-01T05:00:00
58,Ahmedabad,2025-01-01,5,141,Medium,65.8,1,Rainy,2025-01-01T05:00:00
59,Pune,2025-01-01,5,284,Low,55.16,2,Cloudy,2025-01-01T05:00:00
60,Jaipur,2025-01-01,5,125,Medium,65.59,2,Clear,2025-01-01T05:00:00
61,Bengaluru,2025-01-01,6,61,Medium,53.48,0,Rainy,2025-01-01T06:00:00
62,Mumbai,2025-01-01,6,66,Low,44.09,0,Rainy,2025-01-01T06:00:00
63,Delhi,2025-01-01,6,292,Low,46.72,0,Cloudy,2025-01-01T06:00:00
64,Chennai,2025-01-01,6,40,Medium,46.94,0,Clear,2025-01-01T06:00:00
65,Lucknow,2025-01-01,6,61,Medium,49.71,2,Cloudy,2025-01-01T06:00:00
66,Kolkata,2025-01-01,6,137,Low,37.13,0,Cloudy,2025-01-01T06:00:00
67,Hyderabad,2025-01-01,6,94,Medium,35.76,1,Clear,2025-01-01T06:00:00
68,Ahmedabad,2025-01-01,6,200,Medium,39.15,1,Clear,2025-01-01T06:00:00
69,Pune,2025-01-01,6,92,Medium,48.6,2,Clear,2025-01-01T06:00:00
70,Jaipur,2025-01-01,6,109,Low,39.5,0,Cloudy,2025-01-01T06:00:00
71,Bengaluru,2025-01-01,7,258,High,16.66,1,Cloudy,2025-01-01T07:00:00
72,Mumbai,2025-01-01,7,44,High,34.02,0,Rainy,2025-01-01T07:00:00
73,Delhi,2025-01-01,7,90,High,22.61,0,Cloudy,2025-01-01T07:00:00
74,Chennai,2025-01-01,7,261,High,18.69,1,Rainy,2025-01-01T07:00:00
75,Lucknow,2025-01-01,7,235,High,21.95,1,Clear,2025-01-01T07:00:00
76,Kolkata,2025-01-01,7,60,High,29.39,2,Rainy,2025-01-01T07:00:00
77,Hyderabad,2025-01-01,7,298,High,31.08,2,Rainy,2025-01-01T07:00:00
78,Ahmedabad,2025-01-01,7,261,High,20.48,2,Cloudy,2025-01-01T07:00:00
79,Pune,2025-01-01,7,94,Medium,32.73,1,Cloudy,2025-01-01T07:00:00
80,Jaipur,2025-01-01,7,114,Medium,22.45,1,Clear,2025-01-01T07:00:00
81,Bengaluru,2025-01-01,8,127,High,29.81,0,Cloudy,2025-01-01T08:00:00
82,Mumbai,2025-01-01,8,242,Medium,34.86,0,Cloudy,2025-01-01T08:00:00
83,Delhi,2025-01-01,8,51,High,33.45,1,Clear,2025-01-01T08:00:00
84,Chennai,2025-01-01,8,89,High,15.99,1,Rainy,2025-01-01T08:00:00
85,Lucknow,2025-01-01,8,31,High,16.55,2,Clear,2025-01-01T08:00:00
86,Kolkata,2025-01-01,8,253,High,19.26,1,Cloudy,2025-01-01T08:00:00
87,Hyderabad,2025-01-01,8,136,High,16.47,0,Clear,2025-01-01T08:00:00
88,Ahmedabad,2025-01-01,8,66,Medium,17.11,0,Rainy,2025-01-01T08:00:00
89,Pune,2025-01-01,8,48,High,19.71,2,Clear,2025-01-01T08:00:00
90,Jaipur,2025-01-01,8,187,High,28.54,2,Rainy,2025-01-01T08:00:00
91,Bengaluru,2025-01-01,9,160,Medium,16.0,2,Clear,2025-01-01T09:00:00
92,Mumbai,2025-01-01,9,36,High,33.13,2,Clear,2025-01-01T09:00:00
93,Delhi,2025-01-01,9,40,High,33.68,1,Clear,2025-01-01T09:00:00
94,Chennai,2025-01-01,9,225,High,22.57,1,Clear,2025-01-01T09:00:00
95,Lucknow,2025-01-01,9,145,High,33.2,0,Rainy,2025-01-01T09:00:00
96,Kolkata,2025-01-01,9,73,Medium,21.18,1,Clear,2025-01-01T09:00:00
97,Hyderabad,2025-01-01,9,96,High,21.95,0,Rainy,2025-01-01T09:00:00
98,Ahmedabad,2025-01-01,9,220,Medium,29.37,0,Cloudy,2025-01-01T09:00:00
99,Pune,2025-01-01,9,106,High,27.23,0,Rainy,2025-01-01T09:00:00
100,Jaipur,2025-01-01,9,164,High,21.58,1,Rainy,2025-01-01T09:00:00
101,Bengaluru,2025-01-01,10,237,Medium,43.33,2,Clear,2025-01-01T10:00:00
102,Mumbai,2025-01-01,10,165,Low,50.09,2,Clear,2025-01-01T10:00:00
103,Delhi,2025-01-01,10,295,Low,48.12,1,Rainy,2025-01-01T10:00:00
104,Chennai,2025-01-01,10,291,Medium,46.03,0,Clear,2025-01-01T10:00:00
105,Lucknow,2025-01-01,10,251,Low,50.17,1,Rainy,2025-01-01T10:00:00
106,Kolkata,2025-01-01,10,118,Low,52.79,1,Clear,2025-01-01T10:00:00
107,Hyderabad,2025-01-01,10,268,Medium,53.83,1,Cloudy,2025-01-01T10:00:00
108,Ahmedabad,2025-01-01,10,168,Low,45.44,2,Rainy,2025-01-01T10:00:00
109,Pune,2025-01-01,10,208,Low,52.58,1,Rainy,2025-01-01T10:00:00
110,Jaipur,2025-01-01,10,161,Low,37.69,2,Clear,2025-01-01T10:00:00
111,Bengaluru,2025-01-01,11,296,Medium,67.52,2,Cloudy,2025-01-01T11:00:00
112,Mumbai,2025-01-01,11,122,Medium,68.72,1,Cloudy,2025-01-01T11:00:00
113,Delhi,2025-01-01,11,102,Low,67.21,2,Clear,2025-01-01T11:00:00
114,Chennai,2025-01-01,11,77,Low,67.06,2,Rainy,2025-01-01T11:00:00
115,Lucknow,2025-01-01,11,261,Medium,61.58,1,Rainy,2025-01-01T11:00:00
116,Kolkata,2025-01-01,11,169,Low,66.75,0,Rainy,2025-01-01T11:00:00
117,Hyderabad,2025-01-01,11,60,Low,61.75,0,Cloudy,2025-01-01T11:00:00
118,Ahmedabad,2025-01-01,11,219,Low,60.32,0,Clear,2025-01-01T11:00:00
119,Pune,2025-01-01,11,236,Low,63.07,2,Clear,2025-01-01T11:00:00
120,Jaipur,2025-01-01,11,298,Low,60.26,2,Cloudy,2025-01-01T11:00:00
121,Bengaluru,2025-01-01,12,171,Low,63.98,0,Clear,2025-01-01T12:00:00
122,Mumbai,2025-01-01,12,141,Low,65.16,1,Rainy,2025-01-01T12:00:00
123,Delhi,2025-01-01,12,36,Medium,64.33,1,Clear,2025-01-01T12:00:00
124,Chennai,2025-01-01,12,230,Medium,60.93,1,Cloudy,2025-01-01T12:00:00
125,Lucknow,2025-01-01,12,72,Medium,64.46,2,Cloudy,2025-01-01T12:00:00
126,Kolkata,2025-01-01,12,256,Medium,66.83,0,Cloudy,2025-01-01T12:00:00
127,Hyderabad,2025-01-01,12,291,Low,60.77,2,Cloudy,2025-01-01T12:00:00
128,Ahmedabad,2025-01-01,12,281,Low,67.51,0,Clear,2025-01-01T12:00:00
129,Pune,2025-01-01,12,204,Low,67.61,1,Clear,2025-01-01T12:00:00
130,Jaipur,2025-01-01,12,279,Medium,60.49,1,Clear,2025-01-01T12:00:00
131,Bengaluru,2025-01-01,13,235,Low,61.19,2,Cloudy,2025-01-01T13:00:00
132,Mumbai,2025-01-01,13,208,Low,65.23,1,Cloudy,2025-01-01T13:00:00
133,Delhi,2025-01-01,13,162,Low,66.88,1,Clear,2025-01-01T13:00:00
134,Chennai,2025-01-01,13,75,Low,52.48,1,Rainy,2025-01-01T13:00:00
135,Lucknow,2025-01-01,13,123,Low,57.39,0,Clear,2025-01-01T13:00:00
136,Kolkata,2025-01-01,13,270,Low,60.87,2,Rainy,2025-01-01T13:00:00
137,Hyderabad,2025-01-01,13,136,Medium,69.33,0,Clear,2025-01-01T13:00:00
138,Ahmedabad,2025-01-01,13,191,Low,56.15,1,Clear,2025-01-01T13:00:00
139,Pune,2025-01-01,13,127,Medium,67.89,2,Clear,2025-01-01T13:00:00
140,Jaipur,2025-01-01,13,279,Low,51.91,1,Clear,2025-01-01T13:00:00
141,Bengaluru,2025-01-01,14,182,Medium,67.05,1,Cloudy,2025-01-01T14:00:00
142,Mumbai,2025-01-01,14,274,Medium,68.65,1,Clear,2025-01-01T14:00:00
143,Delhi,2025-01-01,14,164,Low,63.53,1,Clear,2025-01-01T14:00:00
144,Chennai,2025-01-01,14,206,Low,67.76,0,Clear,2025-01-01T14:00:00
145,Lucknow,2025-01-01,14,161,Low,68.5,2,Cloudy,2025-01-01T14:00:00
146,Kolkata,2025-01-01,14,93,Low,61.02,2,Clear,2025-01-01T14:00:00
147,Hyderabad,2025-01-01,14,157,Low,60.54,1,Clear,2025-01-01T14:00:00
148,Ahmedabad,2025-01-01,14,204,Low,64.47,0,Clear,2025-01-01T14:00:00
149,Pune,2025-01-01,14,112,Low,61.36,2,Cloudy,2025-01-01T14:00:00
150,Jaipur,2025-01-01,14,223,Low,69.63,1,Cloudy,2025-01-01T14:00:00
151,Bengaluru,2025-01-01,15,228,Low,68.89,1,Clear,2025-01-01T15:00:00
152,Mumbai,2025-01-01,15,46,Low,55.3,2,Clear,2025-01-01T15:00:00
153,Delhi,2025-01-01,15,126,Medium,69.12,0,Cloudy,2025-01-01T15:00:00
154,Chennai,2025-01-01,15,167,Low,68.86,0,Rainy,2025-01-01T15:00:00
155,Lucknow,2025-01-01,15,294,Low,56.18,0,Cloudy,2025-01-01T15:00:00
156,Kolkata,2025-01-01,15,50,Low,53.76,2,Clear,2025-01-01T15:00:00
157,Hyderabad,2025-01-01,15,116,Low,58.13,2,Clear,2025-01-01T15:00:00
158,Ahmedabad,2025-01-01,15,175,Low,62.34,0,Clear,2025-01-01T15:00:00
159,Pune,2025-01-01,15,115,Low,66.56,1,Rainy,2025-01-01T15:00:00
160,Jaipur,2025-01-01,15,217,Low,51.23,0,Cloudy,2025-01-01T15:00:00
161,Bengaluru,2025-01-01,16,79,Low,40.87,2,Clear,2025-01-01T16:00:00
162,Mumbai,2025-01-01,16,78,Medium,41.16,1,Rainy,2025-01-01T16:00:00
163,Delhi,2025-01-01,16,102,Medium,48.85,0,Clear,2025-01-01T16:00:00
164,Chennai,2025-01-01,16,148,Medium,45.38,2,Cloudy,2025-01-01T16:00:00
165,Lucknow,2025-01-01,16,104,Medium,49.2,2,Rainy,2025-01-01T16:00:00
166,Kolkata,2025-01-01,16,32,Low,46.29,2,Clear,2025-01-01T16:00:00
167,Hyderabad,2025-01-01,16,162,Low,39.93,1,Clear,2025-01-01T16:00:00
168,Ahmedabad,2025-01-01,16,258,Low,42.29,2,Cloudy,2025-01-01T16:00:00
169,Pune,2025-01-01,16,150,Medium,36.34,2,Rainy,2025-01-01T16:00:00
170,Jaipur,2025-01-01,16,211,Medium,52.85,0,Clear,2025-01-01T16:00:00
171,Bengaluru,2025-01-01,17,238,High,23.35,2,Rainy,2025-01-01T17:00:00
172,Mumbai,2025-01-01,17,39,High,18.02,1,Cloudy,2025-01-01T17:00:00
173,Delhi,2025-01-01,17,100,High,28.52,1,Cloudy,2025-01-01T17:00:00
174,Chennai,2025-01-01,17,238,Medium,15.44,0,Rainy,2025-01-01T17:00:00
175,Lucknow,2025-01-01,17,240,High,29.77,0,Cloudy,2025-01-01T17:00:00
176,Kolkata,2025-01-01,17,126,High,29.65,0,Clear,2025-01-01T17:00:00
177,Hyderabad,2025-01-01,17,172,High,16.47,1,Cloudy,2025-01-01T17:00:00
178,Ahmedabad,2025-01-01,17,105,High,32.37,2,Cloudy,2025-01-01T17:00:00
179,Pune,2025-01-01,17,231,High,26.29,1,Rainy,2025-01-01T17:00:00
180,Jaipur,2025-01-01,17,89,High,33.39,0,Rainy,2025-01-01T17:00:00
181,Bengaluru,2025-01-01,18,197,High,19.1,1,Rainy,2025-01-01T18:00:00
182,Mumbai,2025-01-01,18,187,High,25.13,0,Rainy,2025-01-01T18:00:00
183,Delhi,2025-01-01,18,143,High,25.88,0,Cloudy,2025-01-01T18:00:00
184,Chennai,2025-01-01,18,241,High,17.37,0,Clear,2025-01-01T18:00:00
185,Lucknow,2025-01-01,18,268,High,29.77,0,Cloudy,2025-01-01T18:00:00
186,Kolkata,2025-01-01,18,231,High,25.23,1,Rainy,2025-01-01T18:00:00
187,Hyderabad,2025-01-01,18,186,High,23.65,0,Rainy,2025-01-01T18:00:00
188,Ahmedabad,2025-01-01,18,224,High,21.76,1,Rainy,2025-01-01T18:00:00
189,Pune,2025-01-01,18,112,Medium,31.78,2,Cloudy,2025-01-01T18:00:00
190,Jaipur,2025-01-01,18,268,High,17.49,1,Clear,2025-01-01T18:00:00
191,Bengaluru,2025-01-01,19,215,High,23.82,2,Clear,2025-01-01T19:00:00
192,Mumbai,2025-01-01,19,97,High,15.77,2,Clear,2025-01-01T19:00:00
193,Delhi,2025-01-01,19,53,High,26.83,2,Clear,2025-01-01T19:00:00
194,Chennai,2025-01-01,19,107,High,31.23,1,Cloudy,2025-01-01T19:00:00
195,Lucknow,2025-01-01,19,226,Medium,27.15,0,Rainy,2025-01-01T19:00:00
196,Kolkata,2025-01-01,19,151,High,21.64,0,Clear,2025-01-01T19:00:00
197,Hyderabad,2025-01-01,19,93,Medium,30.11,1,Rainy,2025-01-01T19:00:00
198,Ahmedabad,2025-01-01,19,265,Medium,27.76,0,Clear,2025-01-01T19:00:00
199,Pune,2025-01-01,19,180,High,29.82,1,Clear,2025-01-01T19:00:00
200,Jaipur,2025-01-01,19,105,High,25.22,0,Cloudy,2025-01-01T19:00:00
201,Bengaluru,2025-01-01,20,254,Low,48.36,0,Clear,2025-01-01T20:00:00
202,Mumbai,2025-01-01,20,126,Medium,45.98,1,Clear,2025-01-01T20:00:00
203,Delhi,2025-01-01,20,233,Low,48.02,1,Rainy,2025-01-01T20:00:00
204,Chennai,2025-01-01,20,45,Medium,38.07,0,Rainy,2025-01-01T20:00:00
205,Lucknow,2025-01-01,20,96,Medium,39.39,2,Cloudy,2025-01-01T20:00:00
206,Kolkata,2025-01-01,20,62,Low,54.16,2,Cloudy,2025-01-01T20:00:00
207,Hyderabad,2025-01-01,20,172,Low,40.31,0,Cloudy,2025-01-01T20:00:00
208,Ahmedabad,2025-01-01,20,190,Low,47.7,0,Rainy,2025-01-01T20:00:00
209,Pune,2025-01-01,20,127,Medium,51.64,1,Rainy,2025-01-01T20:00:00
210,Jaipur,2025-01-01,20,268,Medium,52.62,1,Rainy,2025-01-01T20:00:00
211,Bengaluru,2025-01-01,21,294,Low,54.62,0,Clear,2025-01-01T21:00:00
212,Mumbai,2025-01-01,21,103,Low,64.56,2,Clear,2025-01-01T21:00:00
213,Delhi,2025-01-01,21,190,Medium,57.68,0,Cloudy,2025-01-01T21:00:00
214,Chennai,2025-01-01,21,256,Medium,56.05,0,Rainy,2025-01-01T21:00:00
215,Lucknow,2025-01-01,21,246,Low,64.34,2,Rainy,2025-01-01T21:00:00
216,Kolkata,2025-01-01,21,84,Low,57.1,2,Clear,2025-01-01T21:00:00
217,Hyderabad,2025-01-01,21,293,Low,64.86,1,Cloudy,2025-01-01T21:00:00
218,Ahmedabad,2025-01-01,21,31,Low,67.31,0,Rainy,2025-01-01T21:00:00
219,Pune,2025-01-01,21,117,Low,53.03,0,Clear,2025-01-01T21:00:00
220,Jaipur,2025-01-01,21,189,Low,66.04,0,Clear,2025-01-01T21:00:00
221,Bengaluru,2025-01-01,22,225,Low,52.81,2,Clear,2025-01-01T22:00:00
222,Mumbai,2025-01-01,22,167,Low,50.56,1,Cloudy,2025-01-01T22:00:00
223,Delhi,2025-01-01,22,45,Low,56.85,0,Clear,2025-01-01T22:00:00
224,Chennai,2025-01-01,22,37,Medium,61.44,1,Rainy,2025-01-01T22:00:00
225,Lucknow,2025-01-01,22,47,Low,66.15,2,Cloudy,2025-01-01T22:00:00
226,Kolkata,2025-01-01,22,242,Low,63.11,0,Cloudy,2025-01-01T22:00:00
227,Hyderabad,2025-01-01,22,162,Medium,69.11,2,Rainy,2025-01-01T22:00:00
228,Ahmedabad,2025-01-01,22,64,Low,51.15,1,Cloudy,2025-01-01T22:00:00
229,Pune,2025-01-01,22,185,Medium,67.66,2,Clear,2025-01-01T22:00:00
230,Jaipur,2025-01-01,22,238,Low,65.31,2,Rainy,2025-01-01T22:00:00
231,Bengaluru,2025-01-01,23,83,Low,68.43,0,Clear,2025-01-01T23:00:00
232,Mumbai,2025-01-01,23,242,Medium,51.14,0,Rainy,2025-01-01T23:00:00
233,Delhi,2025-01-01,23,285,Low,60.27,2,Clear,2025-01-01T23:00:00
234,Chennai,2025-01-01,23,132,Low,69.02,0,Cloudy,2025-01-01T23:00:00
235,Lucknow,2025-01-01,23,255,Low,67.95,2,Rainy,2025-01-01T23:00:00
236,Kolkata,2025-01-01,23,140,Low,63.24,2,Rainy,2025-01-01T23:00:00
237,Hyderabad,2025-01-01,23,218,Medium,65.8,2,Clear,2025-01-01T23:00:00
238,Ahmedabad,2025-01-01,23,213,Medium,51.63,0,Clear,2025-01-01T23:00:00
239,Pune,2025-01-01,23,66,Low,51.19,1,Clear,2025-01-01T23:00:00
240,Jaipur,2025-01-01,23,171,Medium,69.09,0,Clear,2025-01-01T23:00:00
241,Bengaluru,2025-01-02,0,147,Low,55.15,0,Cloudy,2025-01-02T00:00:00
242,Mumbai,2025-01-02,0,74,Low,64.68,1,Cloudy,2025-01-02T00:00:00
243,Delhi,2025-01-02,0,112,Low,50.95,1,Clear,2025-01-02T00:00:00
244,Chennai,2025-01-02,0,193,Low,53.38,2,Cloudy,2025-01-02T00:00:00
245,Lucknow,2025-01-02,0,215,Medium,68.53,2,Clear,2025-01-02T00:00:00
246,Kolkata,2025-01-02,0,117,Low,51.58,0,Clear,2025-01-02T00:00:00
247,Hyderabad,2025-01-02,0,262,Low,60.43,0,Rainy,2025-01-02T00:00:00
248,Ahmedabad,2025-01-02,0,175,Low,53.11,2,Clear,2025-01-02T00:00:00
249,Pune,2025-01-02,0,153,Low,69.58,1,Cloudy,2025-01-02T00:00:00
250,Jaipur,2025-01-02,0,118,Low,54.97,2,Rainy,2025-01-02T00:00:00
251,Bengaluru,2025-01-02,1,116,Low,57.04,1,Rainy,2025-01-02T01:00:00
252,Mumbai,2025-01-02,1,188,Low,58.68,0,Cloudy,2025-01-02T01:00:00
253,Delhi,2025-01-02,1,148,Low,62.31,0,Cloudy,2025-01-02T01:00:00
254,Chennai,2025-01-02,1,250,Low,51.77,2,Cloudy,2025-01-02T01:00:00
255,Lucknow,2025-01-02,1,171,Medium,55.66,1,Cloudy,2025-01-02T01:00:00
256,Kolkata,2025-01-02,1,73,Low,55.29,1,Clear,2025-01-02T01:00:00
257,Hyderabad,2025-01-02,1,53,Medium,69.18,1,Rainy,2025-01-02T01:00:00
258,Ahmedabad,2025-01-02,1,72,Low,60.91,2,Clear,2025-01-02T01:00:00
259,Pune,2025-01-02,1,37,Low,69.96,1,Cloudy,2025-01-02T01:00:00
260,Jaipur,2025-01-02,1,45,Low,61.55,0,Clear,2025-01-02T01:00:00
261,Bengaluru,2025-01-02,2,44,Medium,60.87,1,Cloudy,2025-01-02T02:00:00
262,Mumbai,2025-01-02,2,269,Low,66.16,0,Cloudy,2025-01-02T02:00:00
263,Delhi,2025-01-02,2,244,Low,50.66,0,Clear,2025-01-02T02:00:00
264,Chennai,2025-01-02,2,248,Low,69.34,2,Cloudy,2025-01-02T02:00:00
265,Lucknow,2025-01-02,2,76,Medium,61.31,0,Rainy,2025-01-02T02:00:00
266,Kolkata,2025-01-02,2,92,Low,66.77,0,Clear,2025-01-02T02:00:00
267,Hyderabad,2025-01-02,2,185,Low,62.33,1,Cloudy,2025-01-02T02:00:00
268,Ahmedabad,2025-01-02,2,243,Low,57.92,2,Cloudy,2025-01-02T02:00:00
269,Pune,2025-01-02,2,227,Low,57.5,0,Rainy,2025-01-02T02:00:00
270,Jaipur,2025-01-02,2,39,Low,57.12,0,Rainy,2025-01-02T02:00:00
271,Bengaluru,2025-01-02,3,215,Low,57.51,1,Clear,2025-01-02T03:00:00
272,Mumbai,2025-01-02,3,116,Low,58.03,0,Clear,2025-01-02T03:00:00
273,Delhi,2025-01-02,3,33,Low,62.96,0,Cloudy,2025-01-02T03:00:00
274,Chennai,2025-01-02,3,209,Medium,54.83,1,Clear,2025-01-02T03:00:00
275,Lucknow,2025-01-02,3,182,Low,57.84,0,Clear,2025-01-02T03:00:00
276,Kolkata,2025-01-02,3,269,Low,63.08,1,Rainy,2025-01-02T03:00:00
277,Hyderabad,2025-01-02,3,186,Medium,51.35,0,Cloudy,2025-01-02T03:00:00
278,Ahmedabad,2025-01-02,3,161,Low,50.25,0,Cloudy,2025-01-02T03:00:00
279,Pune,2025-01-02,3,104,Low,57.62,0,Cloudy,2025-01-02T03:00:00
280,Jaipur,2025-01-02,3,252,Low,57.39,2,Rainy,2025-01-02T03:00:00
281,Bengaluru,2025-01-02,4,131,Medium,50.4,0,Clear,2025-01-02T04:00:00
282,Mumbai,2025-01-02,4,54,Low,56.71,0,Clear,2025-01-02T04:00:00
283,Delhi,2025-01-02,4,223,Low,63.98,1,Clear,2025-01-02T04:00:00
284,Chennai,2025-01-02,4,212,Low,55.37,1,Rainy,2025-01-02T04:00:00
285,Lucknow,2025-01-02,4,171,Low,53.04,0,Cloudy,2025-01-02T04:00:00
286,Kolkata,2025-01-02,4,176,Low,61.28,1,Cloudy,2025-01-02T04:00:00
287,Hyderabad,2025-01-02,4,170,Low,59.77,1,Rainy,2025-01-02T04:00:00
288,Ahmedabad,2025-01-02,4,148,Low,61.95,2,Rainy,2025-01-02T04:00:00
289,Pune,2025-01-02,4,284,Low,60.66,1,Clear,2025-01-02T04:00:00
290,Jaipur,2025-01-02,4,63,Medium,50.21,2,Rainy,2025-01-02T04:00:00
291,Bengaluru,2025-01-02,5,133,Low,65.65,0,Cloudy,2025-01-02T05:00:00
292,Mumbai,2025-01-02,5,146,Low,63.59,2,Clear,2025-01-02T05:00:00
293,Delhi,2025-01-02,5,193,Low,58.47,2,Clear,2025-01-02T05:00:00
294,Chennai,2025-01-02,5,284,Low,68.45,0,Cloudy,2025-01-02T05:00:00
295,Lucknow,2025-01-02,5,179,Medium,66.58,0,Clear,2025-01-02T05:00:00
296,Kolkata,2025-01-02,5,82,Low,66.52,1,Rainy,2025-01-02T05:00:00
297,Hyderabad,2025-01-02,5,103,Medium,58.55,0,Clear,2025-01-02T05:00:00
298,Ahmedabad,2025-01-02,5,287,Low,54.33,2,Rainy,2025-01-02T05:00:00
299,Pune,2025-01-02,5,190,Low,68.65,1,Cloudy,2025-01-02T05:00:00
300,Jaipur,2025-01-02,5,195,Medium,53.55,2,Rainy,2025-01-02T05:00:00
301,Bengaluru,2025-01-02,6,50,Low,46.14,2,Rainy,2025-01-02T06:00:00
